date,forecasted_searches
2025-01-01,40.83837109773521
2025-01-02,50.40555775033474
2025-01-03,83.87585581689493
2025-01-04,124.63393628592945
2025-01-05,81.27227560810995
2025-01-06,120.71286585227794
2025-01-07,81.75607000546673
2025-01-08,40.83837109773521
2025-01-09,50.40555775033474
2025-01-10,83.87585581689493
2025-01-11,124.63393628592945
2025-01-12,81.27227560810995
2025-01-13,120.71286585227794
2025-01-14,81.75607000546673
2025-01-15,40.83837109773521
2025-01-16,50.40555775033474
2025-01-17,83.87585581689493
2025-01-18,124.63393628592945
2025-01-19,81.27227560810995
2025-01-20,120.71286585227794
2025-01-21,81.75607000546673
2025-01-22,40.83837109773521
2025-01-23,50.40555775033474
2025-01-24,83.87585581689493
2025-01-25,124.63393628592945
2025-01-26,81.27227560810995
2025-01-27,120.71286585227794
2025-01-28,81.75607000546673
2025-01-29,40.83837109773521
2025-01-30,50.40555775033474
