metro,issue,action,priority,expected_impact
San Francisco,Low Liquidity,Increase supply by 1% or boost marketing by 3%,Low,"$20,000 additional monthly revenue"
Los Angeles,Low Liquidity,Increase supply by 2% or boost marketing by 7%,High,"$143,000 additional monthly revenue"
Chicago,Poor Conversion,Improve venue-search matching algorithm,Mid,"$67,000 additional monthly revenue"
Austin,Poor Conversion,Improve venue-search matching algorithm,High,"$187,000 additional monthly revenue"
Miami,Poor Conversion,Improve venue-search matching algorithm,High,"$89,000 additional monthly revenue"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
